Time,Total load consumption[kWh],Pwt[kWh/unit],Ppv(the output of the PV array)[kWh/unit]
2017/1/1 0:00,0,0,0
2017/1/1 1:00,0.097,0,0
2017/1/1 2:00,0.097,0,0
2017/1/1 3:00,0.097,0,0
2017/1/1 4:00,0.097,0,0
2017/1/1 5:00,0.097,0,0
2017/1/1 6:00,0.097,0,0
2017/1/1 7:00,0.20845179,0.007221584,0.002239809
2017/1/1 8:00,0.2957,0.014871183,0.029450746
2017/1/1 9:00,0.2559,0,0.077426972
2017/1/1 10:00,0.097,0,0.067789439
2017/1/1 11:00,0.097,0,0.131945516
2017/1/1 12:00,0.097,0,0.15924619
2017/1/1 13:00,0.1259,0,0.145098597
2017/1/1 14:00,0.1259,0,0.114364943
2017/1/1 15:00,0.097,0,0.067253896
2017/1/1 16:00,0.097,0,0.016046684
2017/1/1 17:00,0.1259,0,0.001131178
2017/1/1 18:00,0.3018,0,0
2017/1/1 19:00,0.3107,0,0
2017/1/1 20:00,0.8049,0,0
2017/1/1 21:00,0.3307,0,0
2017/1/1 22:00,0.3596,0,0
2017/1/1 23:00,0.1548,0,0
2017/1/2 0:00,0.191,0,0
2017/1/2 1:00,0.097,0,0
2017/1/2 2:00,0.097,0,0
2017/1/2 3:00,0.097,0,0
2017/1/2 4:00,0.097,0.065164984,0
2017/1/2 5:00,0.097,0,0
2017/1/2 6:00,0.097,0,0
2017/1/2 7:00,0.374059304,0.022379546,0.001099758
2017/1/2 8:00,0.317613011,0,0.005978612
2017/1/2 9:00,0.383777018,0.048426728,0.00864969
2017/1/2 10:00,0.097,0.299517051,0.021610992
2017/1/2 11:00,0.097,0.462065584,0.026418574
2017/1/2 12:00,0.097,0.336883836,0.021010542
2017/1/2 13:00,0.1259,0.375757356,0.004834735
2017/1/2 14:00,0.1259,0.450886928,0.006464132
2017/1/2 15:00,0.097,0.384583332,0.0103331
2017/1/2 16:00,0.097,0.444069151,0.0032726
2017/1/2 17:00,0.1259,0.302854938,0.000557809
2017/1/2 18:00,0.3018,0.275617406,0
2017/1/2 19:00,0.3107,0.320843799,0
2017/1/2 20:00,0.8049,0.113329531,0
2017/1/2 21:00,0.364414895,0,0
2017/1/2 22:00,0.389279409,0,0
2017/1/2 23:00,0.188589482,0,0
2017/1/3 0:00,0.191,0,0
2017/1/3 1:00,0.097,0,0
2017/1/3 2:00,0.097,0,0
2017/1/3 3:00,0.097,0,0
2017/1/3 4:00,0.097,0,0
2017/1/3 5:00,0.097,0,0
2017/1/3 6:00,0.097,0,0
2017/1/3 7:00,0.417799355,0,0.002273154
2017/1/3 8:00,0.313996652,0,0.027597162
2017/1/3 9:00,0.372621008,0,0.054738322
2017/1/3 10:00,0.097,0,0.090618695
2017/1/3 11:00,0.097,0,0.122637216
2017/1/3 12:00,0.097,0,0.138846628
2017/1/3 13:00,0.1259,0,0.152457755
2017/1/3 14:00,0.1259,0,0.128127049
2017/1/3 15:00,0.097,0,0.075953693
2017/1/3 16:00,0.097,0,0.017883031
2017/1/3 17:00,0.1259,0,0.001146615
2017/1/3 18:00,0.3018,0.067946808,0
2017/1/3 19:00,0.3107,0.240708735,0
2017/1/3 20:00,0.8049,0.168707883,0
2017/1/3 21:00,0.638530764,0.16049649,0
2017/1/3 22:00,0.750623139,0.195244895,0
2017/1/3 23:00,0.394062123,0.249649924,0
2017/1/4 0:00,0.191,0.307788094,0
2017/1/4 1:00,0.097,0.323737039,0
2017/1/4 2:00,0.097,0.413665912,0
2017/1/4 3:00,0.097,0.459350352,0
2017/1/4 4:00,0.097,0.543531432,0
2017/1/4 5:00,0.097,0.610730624,0
2017/1/4 6:00,0.097,0.743362032,0
2017/1/4 7:00,0.743979782,0.820243825,0.002850951
2017/1/4 8:00,0.51777436,0.872280596,0.028821165
2017/1/4 9:00,0.529453463,1.032352634,0.077016784
2017/1/4 10:00,0.097,1.081083123,0.097249151
2017/1/4 11:00,0.097,1.069876092,0.1403571
2017/1/4 12:00,0.097,1.024966073,0.158125698
2017/1/4 13:00,0.1259,1.107391172,0.146802136
2017/1/4 14:00,0.1259,1.291751139,0.112119041
2017/1/4 15:00,0.097,1.325504397,0.059925665
2017/1/4 16:00,0.097,1.290867932,0.014446154
2017/1/4 17:00,0.1259,1.352579437,0.001154105
2017/1/4 18:00,0.3018,1.333974105,0
2017/1/4 19:00,0.3107,1.118286531,0
2017/1/4 20:00,0.8049,0.916125679,0
2017/1/4 21:00,0.614867512,0.688999789,0
2017/1/4 22:00,0.728568892,0.633433238,0
2017/1/4 23:00,0.40275823,0.631793415,0
2017/1/5 0:00,0.191,0.775659586,0
2017/1/5 1:00,0.097,0.680931769,0
2017/1/5 2:00,0.097,0.621648164,0
2017/1/5 3:00,0.097,0.409724318,0
2017/1/5 4:00,0.097,0.292669866,0
2017/1/5 5:00,0.097,0.122037355,0
2017/1/5 6:00,0.097,0.05816527,0
2017/1/5 7:00,0.851100458,0.131858549,0.001690197
2017/1/5 8:00,0.582119918,0.146317116,0.014361155
2017/1/5 9:00,0.61761301,0.1196,0.032511863
2017/1/5 10:00,0.097,0.108322201,0.060941504
2017/1/5 11:00,0.097,0.088957197,0.064434375
2017/1/5 12:00,0.097,0.54246445,0.051355912
2017/1/5 13:00,0.346339033,0.625225284,0.048053373
2017/1/5 14:00,0.230482389,0.66301204,0.038824226
2017/1/5 15:00,0.097,0.330285717,0.0285557
2017/1/5 16:00,0.097,0.176117982,0.008824395
2017/1/5 17:00,0.299769573,0.338721708,0.000563523
2017/1/5 18:00,0.442059999,0.237766894,0
2017/1/5 19:00,0.499239447,0.200627107,0
2017/1/5 20:00,0.868390917,0,0
2017/1/5 21:00,1.134958271,0,0
2017/1/5 22:00,1.359685514,0,0
2017/1/5 23:00,0.676286315,0,0
2017/1/6 0:00,0.191,0,0
2017/1/6 1:00,0.097,0,0
2017/1/6 2:00,0.097,0.012057171,0
2017/1/6 3:00,0.097,0.050772402,0
2017/1/6 4:00,0.097,0.051389878,0
2017/1/6 5:00,0.097,0.168092778,0
2017/1/6 6:00,0.097,0.164232043,0
2017/1/6 7:00,0.916551969,0.117928366,0.000556169
2017/1/6 8:00,0.628923106,0.053024763,0.015073327
2017/1/6 9:00,0.648139436,0.100153676,0.074982054
2017/1/6 10:00,0.097,0.218171429,0.126433683
2017/1/6 11:00,0.097,0.337973474,0.159522007
2017/1/6 12:00,0.097,0.430580758,0.170841411
2017/1/6 13:00,0.407082133,0.321490305,0.155549812
2017/1/6 14:00,0.304980563,0.282059604,0.123285236
2017/1/6 15:00,0.097,0.283012962,0.072594996
2017/1/6 16:00,0.097,0.258907341,0.019109595
2017/1/6 17:00,0.467516419,0.320286325,0.001181588
2017/1/6 18:00,0.618401895,0.241671834,0
2017/1/6 19:00,0.660264538,0.229339317,0
2017/1/6 20:00,1.02604042,0.261231608,0
2017/1/6 21:00,1.611203117,0.289445985,0
2017/1/6 22:00,1.885083375,0.369147698,0
2017/1/6 23:00,0.97221193,0.43638296,0
2017/1/7 0:00,0.191,0.436178046,0
2017/1/7 1:00,0.097,0.459882563,0
2017/1/7 2:00,0.097,0.440817631,0
2017/1/7 3:00,0.097,0.406808679,0
2017/1/7 4:00,0.097,0.440712141,0
2017/1/7 5:00,0.097,0.453915615,0
2017/1/7 6:00,0.097,0.447141452,0
2017/1/7 7:00,1.136120413,0.450932071,0.004258428
2017/1/7 8:00,0.759497944,0.423627657,0.023693062
2017/1/7 9:00,0.723002578,0.314344652,0.040572408
2017/1/7 10:00,0.097,0.210807383,0.036901624
2017/1/7 11:00,0.097,0.048939402,0.035570056
2017/1/7 12:00,0.097,0,0.033870494
2017/1/7 13:00,0.240157042,0,0.028368276
2017/1/7 14:00,0.151350319,0,0.009240437
2017/1/7 15:00,0.097,0,0.013106012
2017/1/7 16:00,0.097,0,0.00327093
2017/1/7 17:00,0.42845042,0,0.000566088
2017/1/7 18:00,0.574140503,0.119067626,0
2017/1/7 19:00,0.612709618,0.220955662,0
2017/1/7 20:00,0.977441022,0.331571148,0
2017/1/7 21:00,1.504784277,0.415659208,0
2017/1/7 22:00,1.770547202,0.568731309,0
2017/1/7 23:00,0.900211661,0.672896551,0
2017/1/8 0:00,0.191,0.778996742,0
2017/1/8 1:00,0.097,0.837637889,0
2017/1/8 2:00,0.097,0.90352028,0
2017/1/8 3:00,0.097,0.936469619,0
2017/1/8 4:00,0.097,1.00235028,0
2017/1/8 5:00,0.097,0.976000044,0
2017/1/8 6:00,0.097,0.958859917,0
2017/1/8 7:00,1.180188765,0.952282548,0
2017/1/8 8:00,0.808592534,0.965156723,0.002178404
2017/1/8 9:00,0.784295518,0.92852672,0.009811418
2017/1/8 10:00,0.097,0.85790663,0.027242105
2017/1/8 11:00,0.097,0.802591628,0.043063422
2017/1/8 12:00,0.097,0.175450321,0.094776263
2017/1/8 13:00,0.1259,0.196945646,0.063656264
2017/1/8 14:00,0.1259,0.207657143,0.036517068
2017/1/8 15:00,0.097,0.220076229,0.013581975
2017/1/8 16:00,0.097,0.179909327,0.003801965
2017/1/8 17:00,0.1259,0.127813747,0.000567844
2017/1/8 18:00,0.3018,0.160778987,0
2017/1/8 19:00,0.3107,0.17974526,0
2017/1/8 20:00,0.8049,0.127219375,0
2017/1/8 21:00,0.549697184,0.026894584,0
2017/1/8 22:00,0.531892192,0,0
2017/1/8 23:00,0.304553565,0,0
2017/1/9 0:00,0.191,0,0
2017/1/9 1:00,0.097,0,0
2017/1/9 2:00,0.097,0,0
2017/1/9 3:00,0.097,0,0
2017/1/9 4:00,0.097,0,0
2017/1/9 5:00,0.097,0,0
2017/1/9 6:00,0.097,0,0
2017/1/9 7:00,0.754611918,0,0.001735275
