年月日時,気温(℃),風速(m/s),現地気圧(hPa),ρ(密度),V,P_wt,P_wt(STP)
2017/1/1 1:00,5.6,1.5,1026.5,1.283104951,1.979261866,0,0
2017/1/1 2:00,5.5,1.2,1026.8,1.283940552,1.583409493,0,0
2017/1/1 3:00,6.1,0.9,1027.2,1.281680959,1.18755712,0,0
2017/1/1 4:00,6.2,1.1,1026.9,1.280847962,1.451458702,0,0
2017/1/1 5:00,5.7,1.8,1026.3,1.282394903,2.375114239,0,0
2017/1/1 6:00,5.5,1.6,1026.6,1.283690466,2.111212657,0,0
2017/1/1 7:00,5.1,1.8,1027,1.286036734,2.375114239,0,0
2017/1/1 8:00,5.4,2.5,1027.6,1.285402192,3.298769777,0,0
2017/1/1 9:00,6.3,2.4,1027.9,1.281636465,3.166818986,0,0
2017/1/1 10:00,9.1,1.5,1028.6,1.269786404,1.979261866,0,0
2017/1/1 11:00,9.8,1.6,1028.3,1.266275607,2.111212657,0,0
2017/1/1 12:00,11.5,1.3,1027.2,1.257366617,1.715360284,0,0
2017/1/1 13:00,12.5,0.7,1026.2,1.251745057,0.923655538,0,0
2017/1/1 14:00,12.9,3,1025.7,1.24938563,3.958523732,0.582019458,0.570659545
2017/1/1 15:00,12.3,2.9,1025.3,1.251523513,3.826572941,0.41452992,0.405744796
2017/1/1 16:00,12.3,2.6,1025,1.251157321,3.430720568,0,0
2017/1/1 17:00,10.8,1.6,1024.9,1.257644,2.111212657,0,0
2017/1/1 18:00,9.3,1,1024.3,1.263582775,1.319507911,0,0
2017/1/1 19:00,8.6,1.5,1024.2,1.266598444,1.979261866,0,0
2017/1/1 20:00,7.7,1,1023.9,1.270285141,1.319507911,0,0
2017/1/1 21:00,7,1.3,1023.8,1.27333478,1.715360284,0,0
2017/1/1 22:00,7.4,0.9,1023.2,1.27077412,1.18755712,0,0
2017/1/1 23:00,6,0.8,1022.8,1.276648062,1.055606329,0,0
2017/1/2 0:00,6.3,2.3,1022.1,1.274404739,3.034868195,0,0
2017/1/2 1:00,6.2,1.6,1022.7,1.27560932,2.111212657,0,0
2017/1/2 2:00,6.4,1.8,1022.4,1.274322782,2.375114239,0,0
2017/1/2 3:00,5.8,2.9,1021.8,1.276314302,3.826572941,0.41452992,0.397863717
2017/1/2 4:00,6,1.5,1021.8,1.275399873,1.979261866,0,0
2017/1/2 5:00,6.7,2.6,1021.7,1.272085158,3.430720568,0,0
2017/1/2 6:00,6.8,1.5,1021.4,1.271257374,1.979261866,0,0
2017/1/2 7:00,6.9,1.8,1021.7,1.271176688,2.375114239,0,0
2017/1/2 8:00,7.2,2.1,1021.7,1.269816413,2.770966613,0,0
2017/1/2 9:00,7.9,3,1021.5,1.266405782,3.958523732,0.582019458,0.562990035
2017/1/2 10:00,8.5,2.1,1021.8,1.264079086,2.770966613,0,0
2017/1/2 11:00,9.5,1.7,1021.4,1.259113751,2.243163448,0,0
2017/1/2 12:00,10.6,1.1,1020.9,1.253618628,1.451458702,0,0
2017/1/2 13:00,10.8,1.1,1020,1.251631262,1.451458702,0,0
2017/1/2 14:00,9.7,1.5,1019.9,1.256375654,1.979261866,0,0
2017/1/2 15:00,9.9,1.1,1019.9,1.255487913,1.451458702,0,0
2017/1/2 16:00,10.7,1.9,1019.4,1.251335697,2.50706503,0,0
2017/1/2 17:00,10.3,1.4,1019.8,1.253593263,1.847311075,0,0
2017/1/2 18:00,9.6,1.2,1020.2,1.257189684,1.583409493,0,0
