Date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: CB1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: CB2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: MB:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly)
 01/01  01:00:00,7.925,19.84311358,18.28489111,19.21205501,20.63717461,0,0,0,0,0,0,0,0,349200,0
 01/01  02:00:00,8.941666667,19.54403358,17.99731583,18.81756543,20.34737689,0,0,0,0,0,0,0,0,349200,0
 01/01  03:00:00,9.866666667,19.26623164,17.73005034,18.48688071,20.05618392,0,0,0,0,0,0,0,0,349200,0
 01/01  04:00:00,10.375,19.00835412,17.47538072,18.19404982,19.77796129,0,0,0,0,0,0,0,0,349200,0
 01/01  05:00:00,10.55833333,18.76850955,17.23259285,17.92398421,19.51761502,0,0,0,0,0,0,0,0,349200,0
 01/01  06:00:00,10.71666667,18.54708044,17.0045189,17.67594425,19.27840018,0,0,0,0,0,0,0,0,349200,0
 01/01  07:00:00,10.56666667,18.32394014,16.78497772,18.03165527,17.9307241,153926.9134,2.41E-09,0,0,0,0,0,0,453240,104040
 01/01  08:00:00,10.4,17.33876245,16.59878121,18.83715568,17.41390038,0,0,0,0,0,0,0,0,1064520,186120
 01/01  09:00:00,11.04166667,17.20203032,16.74295091,18.88179569,17.43342332,0,0,0,0,0,0,0,0,921240,104040
 01/01  10:00:00,11.96666667,17.75978306,17.27141675,19.39800741,17.9984885,0,0,0,0,0,0,0,0,349200,0
 01/01  11:00:00,13.64166667,18.77523201,18.01207863,20.74654557,19.06152071,0,0,0,0,0,0,0,0,349200,0
 01/01  12:00:00,14.83333333,20.00041531,18.82400281,22.32502683,20.43250639,0,0,0,0,0,0,0,0,349200,0
 01/01  13:00:00,16.575,21.22229666,19.62310028,23.93174031,21.83822706,0,0,0,0,0,0,0,0,453240,104040
 01/01  14:00:00,17.64166667,22.27105528,20.44496611,25.00730988,23.03441337,0,0,0,0,0,0,0,0,453240,104040
 01/01  15:00:00,17.6,22.82890452,20.89413164,25.05415258,23.66225083,0,0,0,0,0,0,0,0,349200,0
 01/01  16:00:00,16.2,22.9376538,21.03096758,24.31558521,23.75969705,0,0,0,0,0,0,0,0,349200,0
 01/01  17:00:00,12.925,22.69475369,20.9192707,23.84987581,23.43248799,0,0,0,0,0,0,0,0,453240,104040
 01/01  18:00:00,10.89166667,22.12644092,20.48526251,23.40067144,22.74161913,0,0,0,0,0,0,0,0,1086480,208080
 01/01  19:00:00,10.54166667,21.49702087,20.07321466,22.69943821,21.9971366,0,0,0,0,0,0,0,0,1118520,240120
 01/01  20:00:00,9.975,20.99938103,19.80579671,22.95594215,21.47161306,0,0,0,0,0,0,0,0,6580440,104040
 01/01  21:00:00,9.25,21.34988796,19.75679913,22.74042866,20.9074085,0,0,0,0,0,0,0,0,1190520,312120
 01/01  22:00:00,9,21.04665447,19.46789129,22.26465777,20.63619909,0,0,0,0,0,0,0,0,1294560,416160
 01/01  23:00:00,8.358333333,20.78554003,19.3020447,20.88336042,21.05177078,0,0,0,0,0,0,0,0,557280,208080
 01/01  24:00:00,7.608333333,20.20235526,18.63620263,19.78194863,20.92874721,0,0,0,0,0,0,0,0,687600,0
 01/02  01:00:00,6.583333333,19.79998863,18.23161412,19.14258777,20.58908535,0,0,0,0,0,0,0,0,349200,0
 01/02  02:00:00,5.533333333,19.38630294,17.81911072,18.5635353,20.17672575,0,0,0,0,0,0,0,0,349200,0
 01/02  03:00:00,5.083333333,18.96979547,17.40532732,18.04632955,19.74186855,0,0,0,0,0,0,0,0,349200,0
 01/02  04:00:00,5,18.55612336,16.99395096,17.57014368,19.30391467,0,0,0,0,0,0,0,0,349200,0
 01/02  05:00:00,5.058333333,18.15852729,16.59675161,17.13354025,18.88250761,0,0,0,0,0,0,0,0,349200,0
 01/02  06:00:00,4.925,17.77632955,16.2107119,16.72415023,18.48052459,0,0,0,0,0,0,0,0,349200,0
 01/02  07:00:00,4.625,17.39197966,15.83102687,18.06831927,16.97693865,761110.0272,0.333999421,0,0,0,0,0,0,453240,104040
 01/02  08:00:00,4.5,16.18772853,15.46517529,18.0158799,16.26597621,0,0,0,0,0,0,0,0,1064520,186120
 01/02  09:00:00,4.441666667,15.68136499,15.29251449,18.00000497,16.00079366,382758.6247,3.424010174,0,0,0,0,0,0,921240,104040
 01/02  10:00:00,4.691666667,15.71516752,15.4270239,17.60946064,16.12294326,0,0,0,0,0,0,0,0,349200,0
 01/02  11:00:00,5.075,16.28558503,15.82650662,18.23911054,16.74446523,0,0,0,0,0,0,0,0,349200,0
 01/02  12:00:00,5.375,17.18828089,16.3109963,19.52479302,17.75555342,0,0,0,0,0,0,0,0,349200,0
 01/02  13:00:00,5.966666667,18.35375166,16.77221348,21.44834979,19.15086561,0,0,0,0,0,0,0,0,453240,104040
 01/02  14:00:00,6.358333333,19.60889347,17.25203457,23.37542186,20.69121437,0,0,0,0,0,0,0,0,453240,104040
 01/02  15:00:00,6.808333333,20.73095222,17.70356845,24.86957085,22.1602751,0,0,0,0,0,0,0,0,349200,0
 01/02  16:00:00,6.633333333,21.58836023,17.99760294,25.92064455,23.43285215,0,0,0,0,0,0,0,0,349200,0
 01/02  17:00:00,6.475,21.81277172,18.07235444,25.77705005,23.73038827,0,0,0,0,0,0,0,0,453240,104040
 01/02  18:00:00,6.541666667,21.45501782,17.94344263,24.83557055,23.13740503,0,0,0,0,0,0,0,0,1086480,208080
 01/02  19:00:00,6.383333333,20.83568797,17.72965629,23.55316848,22.22215731,0,0,0,0,0,0,0,0,1118520,240120
 01/02  20:00:00,6.533333333,20.20789154,17.5255451,23.27232793,21.40959862,0,0,0,0,0,0,0,0,6580440,104040
 01/02  21:00:00,6.991666667,20.52759394,18.02048186,22.87632881,20.74354459,0,0,0,0,0,0,86113.5606,1.75E-09,1190520,312120
 01/02  22:00:00,7.2,20.28013916,18,22.28315053,20.39645759,0,0,0,0,0,0,77727.97588,3.82E-09,1294560,416160
 01/02  23:00:00,7.083333333,20.00037914,18,20.6831581,20.65215933,0,0,0,0,0,0,91532.41366,4.26E-09,557280,208080
 01/02  24:00:00,6.941666667,19.42158471,17.19704737,19.44362368,20.4741214,0,0,0,0,0,0,0,0,687600,0
 01/03  01:00:00,6.666666667,19.04632036,16.88734458,18.7875669,20.1157165,0,0,0,0,0,0,0,0,349200,0
 01/03  02:00:00,6.558333333,18.69058389,16.61022054,18.22261125,19.72265517,0,0,0,0,0,0,0,0,349200,0
 01/03  03:00:00,6.425,18.34917647,16.33562535,17.73595368,19.33013463,0,0,0,0,0,0,0,0,349200,0
 01/03  04:00:00,6.358333333,18.01687461,16.06296641,17.29147259,18.9462186,0,0,0,0,0,0,0,0,349200,0
 01/03  05:00:00,6.4,17.70038381,15.79637192,16.89551562,18.5842301,0,0,0,0,0,0,0,0,349200,0
 01/03  06:00:00,6.516666667,17.40737683,15.53971062,16.54519553,18.25446368,0,0,0,0,0,0,0,0,349200,0
 01/03  07:00:00,6.483333333,17.12418805,15.2993632,18.07947449,16.91384652,908583.1028,2.30E-08,0,0,0,0,0,0,453240,104040
 01/03  08:00:00,6.4,16.02057525,15.05969463,18.02530645,16.22786702,0,0,0,0,0,0,0,0,1064520,186120
 01/03  09:00:00,6.166666667,15.59351426,14.98497572,18.00000718,16.03428666,342843.0056,3.050386164,0,0,0,0,0,0,921240,104040
 01/03  10:00:00,5.766666667,15.65436798,15.1647737,17.64187033,16.16877069,0,0,0,0,0,0,0,0,349200,0
 01/03  11:00:00,5.541666667,16.00450862,15.48489522,17.95668591,16.56466452,0,0,0,0,0,0,0,0,349200,0
 01/03  12:00:00,5.733333333,16.50701117,15.86539662,18.59802275,17.12505254,0,0,0,0,0,0,0,0,349200,0
 01/03  13:00:00,5.55,17.05588418,16.23056092,19.44909334,17.75060443,0,0,0,0,0,0,0,0,453240,104040
